#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 00 194  3.4  4.7 99.00 99.00 99.00 999 1015.2 999.0  13.1 999.0 99.0 99.00 
2022 01 01 00 10 176  3.5  4.7 99.00 99.00 99.00 999 1015.3 999.0  13.1 999.0 99.0 99.00 
2022 01 01 00 20 176  3.3  4.3 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 00 30 191  4.5  5.8 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 00 40 196  3.6  5.0  0.73 12.12  6.02  87 1015.6 999.0  13.1 999.0 99.0 99.00 
2022 01 01 00 50 194  2.9  4.1 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 01 00 192  2.7  4.5 99.00 99.00 99.00 999 1015.1 999.0  13.1 999.0 99.0 99.00 
2022 01 01 01 10 181  3.1  4.3 99.00 99.00 99.00 999 1015.3 999.0  13.1 999.0 99.0 99.00 
2022 01 01 01 20 178  3.2  4.4 99.00 99.00 99.00 999 1015.1 999.0  13.1 999.0 99.0 99.00 
2022 01 01 01 30 168  3.2  4.3 99.00 99.00 99.00 999 1015.0 999.0  13.1 999.0 99.0 99.00 
2022 01 01 01 40 176  3.5  4.3  0.79 12.90  6.04  91 1015.3 999.0  13.1 999.0 99.0 99.00 
2022 01 01 01 50 185  4.3  5.8 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 02 00 195  4.6  5.9 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 02 10 184  4.6  5.8 99.00 99.00 99.00 999 1015.2 999.0  13.1 999.0 99.0 99.00 
2022 01 01 02 20 189  4.3  5.6 99.00 99.00 99.00 999 1015.3 999.0  13.1 999.0 99.0 99.00 
2022 01 01 02 30 192  4.3  5.5 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 02 40 192  4.1  5.4  0.87 12.90  5.72  85 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 02 50 186  3.8  4.9 99.00 99.00 99.00 999 1015.5 999.0  13.1 999.0 99.0 99.00 
2022 01 01 03 00 186  3.7  5.6 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 03 10 184  5.6  7.0 99.00 99.00 99.00 999 1015.3 999.0  13.1 999.0 99.0 99.00 
2022 01 01 03 20 189  5.2  6.3 99.00 99.00 99.00 999 1015.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 03 30 189  5.1  6.2 99.00 99.00 99.00 999 1015.2 999.0  13.1 999.0 99.0 99.00 
2022 01 01 03 40 179  4.1  5.3 99.00 99.00 99.00 999 1014.7 999.0  13.1 999.0 99.0 99.00 
2022 01 01 03 50 180  4.5  5.5 99.00 99.00 99.00 999 1015.0 999.0  13.1 999.0 99.0 99.00 
2022 01 01 04 00 185  4.6  5.9 99.00 99.00 99.00 999 1014.9 999.0  13.1 999.0 99.0 99.00 
2022 01 01 04 10 175  4.8  6.3 99.00 99.00 99.00 999 1014.7 999.0  13.2 999.0 99.0 99.00 
2022 01 01 04 20 181  5.3  6.6 99.00 99.00 99.00 999 1014.7 999.0  13.3 999.0 99.0 99.00 
2022 01 01 04 30 182  5.4  6.9 99.00 99.00 99.00 999 1014.2 999.0  13.3 999.0 99.0 99.00 
2022 01 01 04 40 183  6.0  7.2  0.83 12.12  5.04  81 1014.0 999.0  13.1 999.0 99.0 99.00 
2022 01 01 04 50 178  5.2  6.8 99.00 99.00 99.00 999 1014.1 999.0  13.1 999.0 99.0 99.00 
2022 01 01 05 00 179  5.3  6.5 99.00 99.00 99.00 999 1014.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 05 10 182  6.0  7.7 99.00 99.00 99.00 999 1013.9 999.0  13.0 999.0 99.0 99.00 
2022 01 01 05 20 177  5.3  6.5 99.00 99.00 99.00 999 1013.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 05 30 181  4.7  6.0 99.00 99.00 99.00 999 1013.9 999.0  13.0 999.0 99.0 99.00 
2022 01 01 05 40 179  4.2  5.3  0.90  6.25  5.22 129 1013.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 05 50 174  4.7  5.8 99.00 99.00 99.00 999 1013.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 06 00 169  4.6  5.6 99.00 99.00 99.00 999 1013.4 999.0  13.0 999.0 99.0 99.00 
2022 01 01 06 10 170  4.6  5.4 99.00 99.00 99.00 999 1013.4 999.0  13.0 999.0 99.0 99.00 
2022 01 01 06 20 174  5.2  7.1 99.00 99.00 99.00 999 1013.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 06 30 174  5.4  6.8 99.00 99.00 99.00 999 1013.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 06 40 174  5.3  6.6  0.89  8.33  5.13  98 1013.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 06 50 175  5.2  6.1 99.00 99.00 99.00 999 1013.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 07 00 179  5.6  7.2 99.00 99.00 99.00 999 1012.9 999.0  13.0 999.0 99.0 99.00 
2022 01 01 07 10 182  6.0  7.3 99.00 99.00 99.00 999 1013.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 07 20 186  5.8  7.5 99.00 99.00 99.00 999 1013.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 07 30 184  5.3  6.4 99.00 99.00 99.00 999 1013.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 07 40 181  5.1  6.0  0.86 12.12  4.72  71 1013.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 07 50 179  4.8  5.9 99.00 99.00 99.00 999 1013.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 08 00 180  5.2  6.1 99.00 99.00 99.00 999 1012.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 08 10 182  5.2  6.3 99.00 99.00 99.00 999 1012.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 08 20 187  5.5  7.1 99.00 99.00 99.00 999 1012.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 08 30 186  5.3  6.3 99.00 99.00 99.00 999 1012.3 999.0  13.1 999.0 99.0 99.00 
2022 01 01 08 40 189  5.1  6.1  0.88  7.69  4.83  88 1012.4 999.0  13.1 999.0 99.0 99.00 
2022 01 01 08 50 189  4.6  5.5 99.00 99.00 99.00 999 1012.3 999.0  13.1 999.0 99.0 99.00 
2022 01 01 09 00 190  4.6  5.3 99.00 99.00 99.00 999 1012.2 999.0  13.2 999.0 99.0 99.00 
2022 01 01 09 10 193  4.5  5.3 99.00 99.00 99.00 999 1012.1 999.0  13.2 999.0 99.0 99.00 
2022 01 01 09 20 190  4.3  5.1 99.00 99.00 99.00 999 1012.2 999.0  13.2 999.0 99.0 99.00 
2022 01 01 09 30 190  4.2  4.9 99.00 99.00 99.00 999 1012.0 999.0  13.2 999.0 99.0 99.00 
2022 01 01 09 40 193  4.3  5.3  0.84  6.67  5.14 124 1011.9 999.0  13.2 999.0 99.0 99.00 
2022 01 01 09 50 194  4.7  5.7 99.00 99.00 99.00 999 1011.8 999.0  13.2 999.0 99.0 99.00 
2022 01 01 10 00 195  5.0  5.9 99.00 99.00 99.00 999 1011.8 999.0  13.2 999.0 99.0 99.00 
2022 01 01 10 10 200  5.6  6.9 99.00 99.00 99.00 999 1011.9 999.0  13.2 999.0 99.0 99.00 
2022 01 01 10 20 204  5.8  7.2 99.00 99.00 99.00 999 1011.8 999.0  13.2 999.0 99.0 99.00 
2022 01 01 10 30 208  5.5  7.0 99.00 99.00 99.00 999 1011.8 999.0  13.3 999.0 99.0 99.00 
2022 01 01 10 40 208  4.9  6.3  0.84  7.69  4.84  90 1012.0 999.0  13.3 999.0 99.0 99.00 
2022 01 01 10 50 209  4.5  5.3 99.00 99.00 99.00 999 1011.9 999.0  13.3 999.0 99.0 99.00 
2022 01 01 11 00 204  4.7  6.0 99.00 99.00 99.00 999 1011.8 999.0  13.3 999.0 99.0 99.00 
2022 01 01 11 10 200  4.7  5.6 99.00 99.00 99.00 999 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 11 20 197  4.6  5.6 99.00 99.00 99.00 999 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 11 30 198  4.7  5.5 99.00 99.00 99.00 999 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 11 40 200  4.2  5.1  0.94  7.69  4.73 107 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 11 50 203  4.4  5.3 99.00 99.00 99.00 999 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 12 00 206  4.6  6.0 99.00 99.00 99.00 999 1011.7 999.0  13.3 999.0 99.0 99.00 
2022 01 01 12 10 201  4.7  5.8 99.00 99.00 99.00 999 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 12 20 197  4.6  5.5 99.00 99.00 99.00 999 1011.4 999.0  13.3 999.0 99.0 99.00 
2022 01 01 12 30 200  4.5  5.6 99.00 99.00 99.00 999 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 12 40 204  4.4  5.5  0.90 12.12  4.68 103 1011.5 999.0  13.3 999.0 99.0 99.00 
2022 01 01 12 50 202  4.8  6.0 99.00 99.00 99.00 999 1011.5 999.0  13.2 999.0 99.0 99.00 
2022 01 01 13 00 206  5.2  6.5 99.00 99.00 99.00 999 1011.5 999.0  13.2 999.0 99.0 99.00 
2022 01 01 13 10 205  5.2  6.4 99.00 99.00 99.00 999 1011.7 999.0  13.2 999.0 99.0 99.00 
2022 01 01 13 20 206  5.2  6.8 99.00 99.00 99.00 999 1011.7 999.0  13.2 999.0 99.0 99.00 
2022 01 01 13 30 210  5.2  6.3 99.00 99.00 99.00 999 1011.8 999.0  13.1 999.0 99.0 99.00 
2022 01 01 13 40 208  4.9  5.8  0.84 12.12  4.97 101 1012.0 999.0  13.1 999.0 99.0 99.00 
2022 01 01 13 50 209  4.8  5.7 99.00 99.00 99.00 999 1012.0 999.0  13.1 999.0 99.0 99.00 
2022 01 01 14 00 210  4.6  5.4 99.00 99.00 99.00 999 1012.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 10 209  4.9  5.9 99.00 99.00 99.00 999 1012.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 20 209  5.0  5.8 99.00 99.00 99.00 999 1012.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 30 213  4.9  5.8 99.00 99.00 99.00 999 1012.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 40 214  5.2  6.5  0.83  6.67  4.89 136 1012.3 999.0  12.9 999.0 99.0 99.00 
2022 01 01 14 50 214  5.5  6.5 99.00 99.00 99.00 999 1012.3 999.0  12.9 999.0 99.0 99.00 
2022 01 01 15 00 214  5.1  6.0 99.00 99.00 99.00 999 1012.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 10 209  4.8  5.8 99.00 99.00 99.00 999 1012.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 20 200  4.7  5.5 99.00 99.00 99.00 999 1011.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 30 200  4.9  6.1 99.00 99.00 99.00 999 1011.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 40 204  5.2  6.5  0.83 12.90  4.69  84 1011.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 50 207  5.7  6.7 99.00 99.00 99.00 999 1011.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 00 205  5.8  7.1 99.00 99.00 99.00 999 1011.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 10 207  6.4  7.7 99.00 99.00 99.00 999 1010.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 20 202  6.7  7.8 99.00 99.00 99.00 999 1010.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 30 199  6.9  8.2 99.00 99.00 99.00 999 1010.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 40 203  7.0  8.3  0.94 12.90  4.46  98 1009.9 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 50 204  6.7  9.0 99.00 99.00 99.00 999 1009.6 999.0  13.1 999.0 99.0 99.00 
